name,_id,run_start_time,run_end_time,status,status_message,create_doe_prototype_building.building_type,create_doe_prototype_building.climate_zone,create_doe_prototype_building.template,add_sensor_calibration_faults.run_measure,advanced_rtu_controls_ems.run_measure,condenser_water_temperature_reset_ems.run_measure,hot_water_coil_valve_leakage_ems.run_measure,membrane_heat_pump_cooling_only_ems.run_measure,optimal_start_stop_ems.run_measure,static_pressure_reset_ems.run_measure,add_sensor_calibration_faults.applicable,advanced_rtu_controls_ems.applicable,condenser_water_temperature_reset_ems.applicable,create_doe_prototype_building.applicable,hot_water_coil_valve_leakage_ems.applicable,membrane_heat_pump_cooling_only_ems.applicable,optimal_start_stop_ems.applicable,standard_report_legacy.cooling_electricity,standard_report_legacy.exterior_equipment_electricity,standard_report_legacy.exterior_lighting_electricity,standard_report_legacy.fans_electricity,standard_report_legacy.heat_rejection_electricity,standard_report_legacy.heating_electricity,standard_report_legacy.heating_natural_gas,standard_report_legacy.humidification_electricity,standard_report_legacy.interior_equipment_electricity,standard_report_legacy.interior_equipment_natural_gas,standard_report_legacy.interior_lighting_electricity,standard_report_legacy.pumps_electricity,standard_report_legacy.refrigeration_electricity,standard_report_legacy.total_energy,standard_report_legacy.total_source_energy,standard_report_legacy.water_systems_electricity,standard_report_legacy.water_systems_natural_gas,static_pressure_reset_ems.applicable
diag Autogenerated 565,0100dd60-47ee-43df-8226-b4cfbeba80d2,2015-11-14T04:17:09Z,2015-11-14T04:27:24Z,completed,completed normal,LargeHotel,ASHRAE 169-2006-5A,DOE Ref 1980-2004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,false,false,false,true,true,false,false,322.3240657576844,0.0,122.04888548463722,254.91018739935248,0.0,0.0,1072.6742110602725,0.0,172.13134261001701,109.17482056430465,196.8587845705134,50.13181681561247,4.0827515206750995,2936.49,5521.3,0.0,632.1530785021802,false
diag Autogenerated 52,010c9a47-4240-4185-8646-4d68b4a2e398,2015-11-14T03:56:28Z,2015-11-14T04:02:29Z,completed,completed normal,LargeOffice,ASHRAE 169-2006-4A,DOE Ref Pre-1980,0.0,0.0,1.0,0.0,0.0,0.0,0.0,false,false,true,true,false,false,false,254.3214367514113,0.0,25.73101778873575,176.5752454689846,9.901842345963441,0.0,560.0525144197591,0.0,195.80184039987606,0.0,199.9851797960201,51.86248048298895,0.0,1552.67,3587.33,0.0,78.43630381118761,false
diag Autogenerated 86,01a5f8e1-7641-42bd-b438-0a13e94709c4,2015-11-14T03:56:28Z,2015-11-14T04:02:39Z,completed,completed normal,LargeOffice,ASHRAE 169-2006-5A,DOE Ref 1980-2004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,false,false,false,true,false,false,false,122.38569356309141,0.0,25.699580992414752,142.77245597725772,9.305291711015006,0.0,472.058676031838,0.0,195.80184039987606,0.0,133.32345319734674,22.90544859559855,0.0,1212.06,2672.39,0.0,87.8037206196941,false
diag Autogenerated 497,01c336aa-2162-41a7-ac7b-351d8d1a617a,2015-11-14T04:07:12Z,2015-11-14T04:17:23Z,completed,completed normal,LargeHotel,ASHRAE 169-2006-2A,90.1-2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,true,false,false,false,444.15612117451377,0.0,104.68132590705041,159.01400493068047,0.0,0.0,263.1938011280452,0.0,151.2248695273545,157.768554175345,107.12463057356841,15.4751443109872,5.291182508336058,1605.05,3867.44,22.2374218728653,162.69659039125486,false
diag Autogenerated 514,025e1993-9e69-4f35-bacd-084b48f7077a,2015-11-14T04:12:27Z,2015-11-14T04:18:59Z,completed,completed normal,LargeHotel,ASHRAE 169-2006-3B,DOE Ref 1980-2004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,false,true,false,false,false,411.76911299755227,0.0,122.084142406232,283.8984283345776,0.0,0.0,616.9247326423564,0.0,172.13134261001701,109.17482056430465,196.8587845705134,51.696342711380666,4.698866225543815,2432.92,5226.74,0.0,463.68669289194014,false
diag Autogenerated 162,0297f720-bf44-46b8-b522-1f8e58858551,2015-11-14T04:00:57Z,2015-11-14T04:02:56Z,completed,completed normal,SmallOffice,ASHRAE 169-2006-4A,90.1-2010,1.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,true,false,false,false,39.96791611237186,0.0,24.336802566711008,114.993348462321,0.0,16.33539400579075,5.3016667970889735,0.0,92.92589404491744,0.0,111.35456608498318,0.0,0.0,440.43,1383.77,35.23358635260975,0.0,false
diag Autogenerated 435,02a7e48a-9163-4d79-8bfb-226bd469140f,2015-11-14T04:06:23Z,2015-11-14T04:17:54Z,completed,completed normal,SecondarySchool,ASHRAE 169-2006-4A,DOE Ref Pre-1980,0.0,1.0,0.0,0.0,0.0,0.0,0.0,false,true,false,true,false,false,false,384.23897509187424,0.0,17.53828093099224,278.02674561045325,0.0,0.0,1067.2994079216007,0.0,116.54757043691302,18.387096774193548,283.9679461004492,35.93609636586362,4.833095140873826,2222.65,4744.58,0.0,15.874846876276031,false
diag Autogenerated 634,03076216-f10c-4ffa-ac9d-f79e806d7a71,2015-11-14T04:22:21Z,2015-11-14T04:34:38Z,completed,completed normal,SmallHotel,ASHRAE 169-2006-4A,DOE Ref 1980-2004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,true,false,false,false,110.8466404781719,0.0,66.44677099906663,116.5834891068172,0.0,9.814361851474304,57.97050126600209,0.0,205.27699012746024,47.920898267056884,247.77216515446239,0.10876741227149359,0.0,962.3,2619.66,0.0,99.55506539956848,false
diag Autogenerated 611,032ef655-4d08-4a1f-b56e-b185d7e7dfc4,2015-11-14T04:19:39Z,2015-11-14T04:33:56Z,completed,completed normal,SmallHotel,ASHRAE 169-2006-3B,DOE Ref 1980-2004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,false,true,false,true,false,false,false,143.08732505520578,0.0,66.48471311962645,97.4429540217383,0.0,0.6171918277731264,26.9338466480666,0.0,205.27699012746024,47.920898267056884,247.77216515446239,0.10370846286351713,0.0,920.64,2582.7,0.0,84.99793847811625,false
diag Autogenerated 46,03d592bd-3e83-4b5a-98eb-a7b59f77205d,2015-11-14T03:56:28Z,2015-11-14T04:02:49Z,completed,completed normal,LargeOffice,ASHRAE 169-2006-3B,90.1-2010,0.0,0.0,0.0,0.0,1.0,0.0,0.0,false,false,false,true,false,false,false,108.86151264136195,0.0,25.150816492918395,96.89582541070219,5.27699857287394,4.263135663978468,1.2159338554434966,1.0307021544411406,173.87152497610933,0.0,93.37572145642635,21.046250391161642,0.0,540.65,1689.58,0.0,9.658710590903159,false
