display_name,display_name_short,export,maximum,measure_id,metadata_id,minimum,name,objective_function,objective_function_group,objective_function_index,output,perturbable,pivot,static_value,units,value_type,visualize,measure_name,measure_display_name,type_of_variable
Select a Building Type,Select a Building Type,true,,ecddc507-5b3a-4173-8df6-1427e2ae3d51,,,create_doe_prototype_building.building_type,false,,,false,false,true,LargeOffice,,string,true,create_doe_prototype_building,Create DOE Prototype Building,pivot
Select a Vintage,Select a Vintage,true,90.1-2010,ecddc507-5b3a-4173-8df6-1427e2ae3d51,,90.1-2010,create_doe_prototype_building.template,false,,,false,false,true,90.1-2010,,string,true,create_doe_prototype_building,Create DOE Prototype Building,pivot
Select a Climate Zone,Select a Climate Zone,true,ASHRAE 169-2006-2A,ecddc507-5b3a-4173-8df6-1427e2ae3d51,,ASHRAE 169-2006-2A,create_doe_prototype_building.climate_zone,false,,,false,false,true,ASHRAE 169-2006-5A,,string,true,create_doe_prototype_building,Create DOE Prototype Building,pivot
Total Site Energy Intensity,Site EUI,true,,,,,standard_report_legacy.total_energy,true,1,0,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Run Measure Add Sensor Calibration Faults,Run Measure Add Sensor Calibration Faults,true,1,3e39dffb-8150-4306-aed8-0e8fb06976e9,,0,add_sensor_calibration_faults.run_measure,false,,,false,true,false,1,,integer,true,add_sensor_calibration_faults,Add Sensor Calibration Faults,variable
Run Measure Advanced Rtu Controls Ems,Run Measure Advanced Rtu Controls Ems,true,1,476f1211-e1df-4026-9f7f-3c91459a70ff,,0,advanced_rtu_controls_ems.run_measure,false,,,false,true,false,1,,integer,true,advanced_rtu_controls_ems,Advanced Rtu Controls Ems,variable
Run Measure Condenser Water Temperature Reset Ems,Run Measure Condenser Water Temperature Reset Ems,true,1,75c59da7-33a0-4de9-b26e-719dc3f901b3,,0,condenser_water_temperature_reset_ems.run_measure,false,,,false,true,false,1,,integer,true,condenser_water_temperature_reset_ems,Condenser Water Temperature Reset Ems,variable
Run Measure Hot Water Coil Valve Leakage Ems,Run Measure Hot Water Coil Valve Leakage Ems,true,1,33004744-67df-4746-81bd-9b332228b606,,0,hot_water_coil_valve_leakage_ems.run_measure,false,,,false,true,false,1,,integer,true,hot_water_coil_valve_leakage_ems,Hot Water Coil Valve Leakage Ems,variable
Run Measure Membrane Heat Pump Cooling Only Ems,Run Measure Membrane Heat Pump Cooling Only Ems,true,1,2375132d-f17f-4c79-9853-fb1043d79620,,0,membrane_heat_pump_cooling_only_ems.run_measure,false,,,false,true,false,1,,integer,true,membrane_heat_pump_cooling_only_ems,Membrane Heat Pump Cooling Only Ems,variable
Run Measure Optimal Start Stop Ems,Run Measure Optimal Start Stop Ems,true,1,a00a7fee-9725-4aaf-bc28-764d19cd0129,,0,optimal_start_stop_ems.run_measure,false,,,false,true,false,1,,integer,true,optimal_start_stop_ems,Optimal Start Stop Ems,variable
Run Measure Static Pressure Reset Ems,Run Measure Static Pressure Reset Ems,true,1,c1558e2a-9f2a-456e-9be2-4802563b45c3,,0,static_pressure_reset_ems.run_measure,false,,,false,true,false,1,,integer,true,static_pressure_reset_ems,Static Pressure Reset Ems,variable
Total Source Energy Intensity,Source EUI,true,,,,,standard_report_legacy.total_source_energy,true,2,1,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Natural Gas Heating Intensity,Natural Gas Heating Intensity,true,,,,,standard_report_legacy.heating_natural_gas,true,3,2,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Electricity Heating Intensity,Electricity Heating Intensity,true,,,,,standard_report_legacy.heating_electricity,true,4,3,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Cooling Electricity Intensity,Cooling Electricity Intensity,true,,,,,standard_report_legacy.cooling_electricity,true,5,4,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Interior Lighting Electricity Intensity,Interior Lighting Electricity Intensity,true,,,,,standard_report_legacy.interior_lighting_electricity,true,6,5,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Exterior Lighting Electricity Intensity,Exterior Lighting Electricity Intensity,true,,,,,standard_report_legacy.exterior_lighting_electricity,true,7,6,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Equipment Electricity Intensity,Equipment Electricity Intensity,true,,,,,standard_report_legacy.interior_equipment_electricity,true,8,7,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Equipment Natural Gas Intensity,Equipment Natural Gas Intensity,true,,,,,standard_report_legacy.interior_equipment_natural_gas,true,9,8,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Experior Equipment Electricity Intensity,Experior Equipment Electricity Intensity,true,,,,,standard_report_legacy.exterior_equipment_electricity,true,10,9,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Fans Electricity Intensity,Fans Electricity Intensity,true,,,,,standard_report_legacy.fans_electricity,true,11,10,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
