display_name,display_name_short,export,maximum,measure_id,metadata_id,minimum,name,objective_function,objective_function_group,objective_function_index,output,perturbable,pivot,static_value,units,value_type,visualize,measure_name,measure_display_name,type_of_variable
Advanced Hybrid RTUs Applicable,Advanced Hybrid RTUs Applicable,true,,1d0d1223-7f0a-426c-a3d4-100d15c232a9,,,advanced_hybrid_rtus.applicable,true,19,18,true,false,false,,,bool,true,advanced_hybrid_rtus,Advanced Hybrid RTUs,output
Run Measure Advanced Hybrid RTUs,Run Measure Advanced Hybrid RTUs,true,1,1d0d1223-7f0a-426c-a3d4-100d15c232a9,,0,advanced_hybrid_rtus.run_measure,false,,,false,true,false,1,,integer,true,advanced_hybrid_rtus,Advanced Hybrid RTUs,variable
Advanced Power Strips Applicable,Advanced Power Strips Applicable,true,,b258bd3c-726b-4453-ae7d-8ae59b7075d2,,,advanced_power_strips.applicable,true,20,19,true,false,false,,,bool,true,advanced_power_strips,Advanced Power Strips,output
Run Measure Advanced Power Strips,Run Measure Advanced Power Strips,true,1,b258bd3c-726b-4453-ae7d-8ae59b7075d2,,0,advanced_power_strips.run_measure,false,,,false,true,false,1,,integer,true,advanced_power_strips,Advanced Power Strips,variable
Advanced RTU Controls Applicable,Advanced RTU Controls Applicable,true,,10c9ba1a-7e74-4ad7-bb95-711a9d8ba9ae,,,advanced_rtu_controls.applicable,true,21,20,true,false,false,,,bool,true,advanced_rtu_controls,Advanced RTU Controls,output
Run Measure Advanced RTU Controls,Run Measure Advanced RTU Controls,true,1,10c9ba1a-7e74-4ad7-bb95-711a9d8ba9ae,,0,advanced_rtu_controls.run_measure,false,,,false,true,false,1,,integer,true,advanced_rtu_controls,Advanced RTU Controls,variable
Advanced Windows Applicable,Advanced Windows Applicable,true,,b12a6bc8-44de-4046-babb-cb247a1731c2,,,advanced_windows.applicable,true,22,21,true,false,false,,,bool,true,advanced_windows,Advanced Windows,output
Run Measure Advanced Windows,Run Measure Advanced Windows,true,1,b12a6bc8-44de-4046-babb-cb247a1731c2,,0,advanced_windows.run_measure,false,,,false,true,false,1,,integer,true,advanced_windows,Advanced Windows,variable
Brushless DC Compressor Motors Applicable,Brushless DC Compressor Motors Applicable,true,,9b0bc278-5a05-4b58-ac15-283dc3abbb63,,,brushless_dc_compressor_motors.applicable,true,23,22,true,false,false,,,bool,true,brushless_dc_compressor_motors,Brushless DC Compressor Motors,output
Run Measure Brushless DC Compressor Motors,Run Measure Brushless DC Compressor Motors,true,1,9b0bc278-5a05-4b58-ac15-283dc3abbb63,,0,brushless_dc_compressor_motors.run_measure,false,,,false,true,false,1,,integer,true,brushless_dc_compressor_motors,Brushless DC Compressor Motors,variable
