name,_id,run_start_time,run_end_time,status,status_message,create_doe_prototype_building.building_type,create_doe_prototype_building.climate_zone,create_doe_prototype_building.template,hot_water_supply_temp_reset.run_measure,improved_duct_routing.run_measure,low_pressure_drop_air_filters.run_measure,lower_minimum_airflow_rates_for_vav_terminal.run_measure,model30_refrigerant_under_charge_scenario.run_measure,one_watt_standby.run_measure,pc_network_presence.run_measure,plant_shutdown.run_measure,create_doe_prototype_building.applicable,hot_water_supply_temp_reset.applicable,improved_duct_routing.applicable,low_pressure_drop_air_filters.applicable,lower_minimum_airflow_rates_for_vav_terminal.applicable,model_30_refrigerant_under_charge_scenario.applicable,one_watt_standby.applicable,pc_network_presence.applicable,plant_shutdown.applicable,standard_report_legacy.cooling_electricity,standard_report_legacy.exterior_equipment_electricity,standard_report_legacy.exterior_lighting_electricity,standard_report_legacy.fans_electricity,standard_report_legacy.heat_rejection_electricity,standard_report_legacy.heating_electricity,standard_report_legacy.heating_natural_gas,standard_report_legacy.humidification_electricity,standard_report_legacy.interior_equipment_electricity,standard_report_legacy.interior_equipment_natural_gas,standard_report_legacy.interior_lighting_electricity,standard_report_legacy.pumps_electricity,standard_report_legacy.refrigeration_electricity,standard_report_legacy.total_energy,standard_report_legacy.total_source_energy,standard_report_legacy.water_systems_electricity,standard_report_legacy.water_systems_natural_gas
diag Autogenerated 367,001a916d-5e01-4a19-b627-6a70abaf9127,2015-11-14T04:20:10Z,2015-11-14T04:21:59Z,completed,completed normal,RetailStandalone,ASHRAE 169-2006-3B,DOE Ref 1980-2004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,true,false,false,false,false,,true,false,false,132.4417281679519,0.0,68.50945296186994,196.2214307821743,0.0,1.1639109150432216,114.84356950117483,0.0,63.727392011299095,0.0,429.34363270982004,0.0,0.0,1006.26,2947.59,0.0,0.0
diag Autogenerated 305,0063852f-3086-4e2b-87c7-22e95e4d2a8d,2015-11-14T04:17:53Z,2015-11-14T04:21:16Z,completed,completed normal,MediumOffice,ASHRAE 169-2006-5A,DOE Ref Pre-1980,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,true,false,false,false,false,,false,true,false,48.99050417587447,0.0,56.15602777092002,95.21314923758429,0.0,0.0,138.67395663352863,0.0,149.56073533927852,0.0,178.81293166258214,0.05419303559278149,0.0,678.03,1836.45,0.0,10.56964909005879
diag Autogenerated 197,00769e2e-4346-43b2-993e-cc4688c472fc,2015-11-14T04:16:03Z,2015-11-14T04:18:13Z,completed,completed normal,SmallOffice,ASHRAE 169-2006-5A,DOE Ref Pre-1980,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,true,false,false,false,false,,false,true,false,55.50121292745911,0.0,85.00273886845606,313.8351983723296,0.0,0.0,87.7611706706315,0.0,110.4742155098208,0.0,206.13897801079895,0.0,0.0,884.09,2564.31,0.0,25.334533218561702
diag Autogenerated 648,00afa697-1a2a-483a-b68a-c5b27317cecf,2015-11-14T04:34:44Z,2015-11-14T04:45:30Z,completed,completed normal,LargeHotel,ASHRAE 169-2006-5A,90.1-2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true,false,false,false,false,,false,false,false,211.88264028508746,0.0,104.65664606193407,163.14964183374772,0.0,0.0,309.44735656823224,0.0,151.2248695273545,157.768554175345,106.59665817268663,13.428480012410436,4.1338740569875245,1442.91,3202.08,22.2374218728653,189.34024604042733
diag Autogenerated 381,00cf1afd-5e73-4619-833a-37575672a175,2015-11-14T04:20:21Z,2015-11-14T04:21:37Z,completed,completed normal,RetailStandalone,ASHRAE 169-2006-4A,DOE Ref Pre-1980,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,true,false,false,,false,false,false,103.09112071107548,0.0,68.44406470821582,187.68608407185735,0.0,3.9102175685159923,445.7168514248101,0.0,87.48076495538342,0.0,429.34363270982004,0.0,0.0,1325.67,3269.97,0.0,0.0
diag Autogenerated 139,010b4ca9-bb87-41b9-8040-18219fcf9401,2015-11-14T04:12:43Z,2015-11-14T04:14:53Z,completed,completed normal,SmallOffice,ASHRAE 169-2006-3B,DOE Ref Pre-1980,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,true,false,false,true,false,,false,false,false,118.14304718679082,0.0,85.08099225291494,207.4888488927146,0.0,0.0,24.982392988496752,0.0,173.87902026762657,0.0,206.13897801079895,0.0,0.0,839.09,2556.7,0.0,23.358635260975035
diag Autogenerated 507,011289de-e5b4-4276-a06e-1802f3c6b301,2015-11-14T04:22:18Z,2015-11-14T04:36:35Z,completed,completed normal,SecondarySchool,ASHRAE 169-2006-4A,90.1-2010,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,true,false,false,,false,false,false,108.81073907717436,0.0,5.9611065741118825,87.92415271539404,0.0,0.0,166.19130257247858,0.0,123.86075949367088,28.3008370763577,105.48285014291548,4.101163740302164,4.886688444262965,727.96,1740.72,8.10483870967742,76.61239281339323
diag Autogenerated 108,012bba05-9b16-4c5d-a0ed-3768a008f86c,2015-11-14T04:10:25Z,2015-11-14T04:16:16Z,completed,completed normal,LargeOffice,ASHRAE 169-2006-5A,90.1-2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true,false,false,false,false,,false,false,false,86.24149442691136,0.0,26.20607588044697,89.90262706263216,5.93372914915502,10.28456921701718,14.517534566059659,0.14032704621390613,173.87152497610933,0.0,93.06068723767613,20.261120567594837,0.0,535.66,1642.72,0.0,11.264753634821314
diag Autogenerated 140,014f0d26-1e1a-47ca-96f0-11ce03fcd5e2,2015-11-14T04:12:43Z,2015-11-14T04:14:55Z,completed,completed normal,SmallOffice,ASHRAE 169-2006-3B,DOE Ref Pre-1980,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,true,false,false,false,false,,false,false,false,146.0599420924955,0.0,85.08099225291494,344.66703184912745,0.0,0.0,16.6875342358557,0.0,173.87902026762657,0.0,206.13897801079895,0.0,0.0,995.89,3070.54,0.0,23.358635260975035
diag Autogenerated 714,01f386a6-d893-471b-92d5-a5a887bf1609,2015-11-14T04:38:02Z,2015-11-14T04:50:41Z,completed,completed normal,SmallHotel,ASHRAE 169-2006-4A,DOE Ref 1980-2004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,true,false,false,,false,false,false,109.08865555890009,0.0,66.44677099906663,107.47232122305161,0.0,9.950953485489668,60.03202314975249,0.0,205.27699012746024,47.920898267056884,247.77216515446239,0.10876741227149359,0.0,953.63,2587.89,0.0,99.55506539956848
diag Autogenerated 455,020f0b6e-c2ab-4f2f-a3f4-67305f3d0424,2015-11-14T04:21:45Z,2015-11-14T04:34:46Z,completed,completed normal,SecondarySchool,ASHRAE 169-2006-2A,90.1-2010,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,true,false,false,false,true,,false,false,false,215.25265414454879,0.0,5.922825643119641,106.26071866067784,0.0,0.0,76.53787260106166,0.0,123.86075949367088,28.3008370763577,115.81155573703552,6.518476929358922,5.7186606778276845,775.12,2089.37,8.10483870967742,70.60585953450388
diag Autogenerated 19,02faec03-3a96-46e9-b8c7-2e93224c93a4,2015-11-14T04:10:29Z,2015-11-14T04:16:41Z,completed,completed normal,LargeOffice,ASHRAE 169-2006-2A,90.1-2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,false,false,false,,false,false,false,158.78285933195906,0.0,24.54670855896753,89.84579460891554,17.86573788872346,7.72921370546195,0.5578000087002769,0.1417303166760452,173.87152497610933,0.0,102.504697447872,31.130151932092936,0.0,621.62,1948.36,0.0,9.194929703166201
