display_name,display_name_short,export,maximum,measure_id,metadata_id,minimum,name,objective_function,objective_function_group,objective_function_index,output,perturbable,pivot,static_value,units,value_type,visualize,measure_name,measure_display_name,type_of_variable
Select a Building Type,Select a Building Type,true,,a47e8985-6b7d-41d0-899d-13a1c69ce223,,,create_doe_prototype_building.building_type,false,,,false,false,true,LargeOffice,,string,true,create_doe_prototype_building,Create DOE Prototype Building,pivot
Select a Vintage,Select a Vintage,true,90.1-2010,a47e8985-6b7d-41d0-899d-13a1c69ce223,,90.1-2010,create_doe_prototype_building.template,false,,,false,false,true,90.1-2010,,string,true,create_doe_prototype_building,Create DOE Prototype Building,pivot
Select a Climate Zone,Select a Climate Zone,true,ASHRAE 169-2006-2A,a47e8985-6b7d-41d0-899d-13a1c69ce223,,ASHRAE 169-2006-2A,create_doe_prototype_building.climate_zone,false,,,false,false,true,ASHRAE 169-2006-5A,,string,true,create_doe_prototype_building,Create DOE Prototype Building,pivot
Run Measure hot water supply temp,Run Measure hot water supply temp,true,1,733fd47b-5b7b-4f87-96e5-5d0613dd0605,,0,hot_water_supply_temp_reset.run_measure,false,,,false,true,false,1,,integer,true,hot_water_supply_temp_reset,Hot Water Supply Temp Reset,variable
Run Measure improved duct routing,Run Measure improved duct routing,true,1,bea543dc-ebca-44c0-84fd-6207fce319dd,,0,improved_duct_routing.run_measure,false,,,false,true,false,1,,integer,true,improved_duct_routing,Improved Duct Routing,variable
Run Measure lower min airflow rate for vav,Run Measure lower min airflow rate for vav,true,1,35e2396a-13c6-4c71-8403-4c2b4b0e2cea,,0,lower_minimum_airflow_rates_for_vav_terminal.run_measure,false,,,false,true,false,1,,integer,true,lower_minimum_airflow_rates_for_vav_terminal,Lower Minimum Airflow Rates For Vav Terminal,variable
Run Measure low pressure drop air filters,Run Measure low pressure drop air filters,true,1,0b42377b-e73b-455e-8aba-9f6f5fe35746,,0,low_pressure_drop_air_filters.run_measure,false,,,false,true,false,1,,integer,true,low_pressure_drop_air_filters,Low Pressure Drop Air Filters,variable
Run Measure model30 refigerant,Run Measure model30 refigerant,true,1,dfea7fc2-5a9e-4be9-9794-fe80d048b3a6,,0,model30_refrigerant_under_charge_scenario.run_measure,false,,,false,true,false,1,,integer,true,model30_refrigerant_under_charge_scenario,Model30 Refrigerant Under Charge Scenario,variable
Run Measure one watt standby,Run Measure one watt standby,true,1,75715f28-e7d9-4edd-a949-09c00c11019f,,0,one_watt_standby.run_measure,false,,,false,true,false,1,,integer,true,one_watt_standby,One Watt Standby,variable
Plant Shutdown Applicable,Plant Shutdown Applicable,true,,ba59aed2-2aef-4b9e-bc6e-d5aec52204c3,,,plant_shutdown.applicable,true,26,25,true,false,false,,,bool,true,plant_shutdown,Plant Shutdown,output
Run Measure pc network presense,Run Measure pc network presense,true,1,b92bca91-eacf-44c4-af51-268ec7a3d8dc,,0,pc_network_presence.run_measure,false,,,false,true,false,1,,integer,true,pc_network_presence,Pc Network Presence,variable
Run Measure plant shutdown,Run Measure plant shutdown,true,1,ba59aed2-2aef-4b9e-bc6e-d5aec52204c3,,0,plant_shutdown.run_measure,false,,,false,true,false,1,,integer,true,plant_shutdown,Plant Shutdown,variable
Total Site Energy Intensity,Site EUI,true,,,,,standard_report_legacy.total_energy,true,1,0,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Total Source Energy Intensity,Source EUI,true,,,,,standard_report_legacy.total_source_energy,true,2,1,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Natural Gas Heating Intensity,Natural Gas Heating Intensity,true,,,,,standard_report_legacy.heating_natural_gas,true,3,2,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Electricity Heating Intensity,Electricity Heating Intensity,true,,,,,standard_report_legacy.heating_electricity,true,4,3,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Cooling Electricity Intensity,Cooling Electricity Intensity,true,,,,,standard_report_legacy.cooling_electricity,true,5,4,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Interior Lighting Electricity Intensity,Interior Lighting Electricity Intensity,true,,,,,standard_report_legacy.interior_lighting_electricity,true,6,5,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Exterior Lighting Electricity Intensity,Exterior Lighting Electricity Intensity,true,,,,,standard_report_legacy.exterior_lighting_electricity,true,7,6,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Equipment Electricity Intensity,Equipment Electricity Intensity,true,,,,,standard_report_legacy.interior_equipment_electricity,true,8,7,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Equipment Natural Gas Intensity,Equipment Natural Gas Intensity,true,,,,,standard_report_legacy.interior_equipment_natural_gas,true,9,8,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Experior Equipment Electricity Intensity,Experior Equipment Electricity Intensity,true,,,,,standard_report_legacy.exterior_equipment_electricity,true,10,9,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Fans Electricity Intensity,Fans Electricity Intensity,true,,,,,standard_report_legacy.fans_electricity,true,11,10,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Pumps Electricity Intensity,Pumps Electricity Intensity,true,,,,,standard_report_legacy.pumps_electricity,true,12,11,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Heat Rejection Electricity Intensity,Heat Rejection Electricity Intensity,true,,,,,standard_report_legacy.heat_rejection_electricity,true,13,12,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Humidification Electricity Intensity,Humidification Electricity Intensity,true,,,,,standard_report_legacy.humidification_electricity,true,14,13,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
