display_name,display_name_short,export,maximum,measure_id,metadata_id,minimum,name,objective_function,objective_function_group,objective_function_index,output,perturbable,pivot,static_value,units,value_type,visualize,measure_name,measure_display_name,type_of_variable
Select a Building Type,Select a Building Type,true,,1f1471ab-0d98-4ee3-a20f-070492ad08dc,,,create_doe_prototype_building.building_type,false,,,false,false,true,LargeOffice,,string,true,create_doe_prototype_building,Create DOE Prototype Building,pivot
Select a Vintage,Select a Vintage,true,90.1-2010,1f1471ab-0d98-4ee3-a20f-070492ad08dc,,90.1-2010,create_doe_prototype_building.template,false,,,false,false,true,90.1-2010,,string,true,create_doe_prototype_building,Create DOE Prototype Building,pivot
Select a Climate Zone,Select a Climate Zone,true,ASHRAE 169-2006-2A,1f1471ab-0d98-4ee3-a20f-070492ad08dc,,ASHRAE 169-2006-2A,create_doe_prototype_building.climate_zone,false,,,false,false,true,ASHRAE 169-2006-5A,,string,true,create_doe_prototype_building,Create DOE Prototype Building,pivot
Run Measure indoor temp,Run Measure indoor temp,true,1,294cc7f2-5279-4a8b-a680-dd19f01b6b92,,0,change_indoor_temperature.run_measure,false,,,false,true,false,1,,integer,true,change_indoor_temperature,Change Indoor Temperature,variable
Run Measure chilled water supply,Run Measure chilled water supply,true,1,4358f1d3-c0bb-4d66-b6f1-e1754d31d3cc,,0,chilled_water_supply_temperature_reset.run_measure,false,,,false,true,false,1,,integer,true,chilled_water_supply_temperature_reset,Chilled Water Supply Temperature Reset,variable
Run Measure close outdoor air damper,Run Measure close outdoor air damper,true,1,17f955aa-5ed8-4ec7-aa74-c792b9ae1029,,0,close_outdoor_air_damper_during_unoccupied_periods.run_measure,false,,,false,true,false,1,,integer,true,close_outdoor_air_damper_during_unoccupied_periods,Close Outdoor Air Damper During Unoccupied Periods,variable
Run Measure cold climate heat pumps,Run Measure cold climate heat pumps,true,1,e1cea7c7-689c-4acd-9b69-f6d22fcfdb64,,0,cold_climate_heat_pumps.run_measure,false,,,false,true,false,1,,integer,true,cold_climate_heat_pumps,Cold Climate Heat Pumps,variable
Run Measure current LEDs,Run Measure current LEDs,true,1,0891a392-ff41-4f1e-862a-76a112671e2d,,0,commercial_lighting_with_current_leds.run_measure,false,,,false,true,false,1,,integer,true,commercial_lighting_with_current_leds,Commercial Lighting With Current LEDs,variable
Run Measure 2020 LEDs,Run Measure 2020 LEDs,true,1,4edbb651-8d3a-447e-9132-296960ee8905,,0,commercial_lighting_with_et2020_leds.run_measure,false,,,false,true,false,1,,integer,true,commercial_lighting_with_et2020_leds,Commercial Lighting With Et2020 LEDs,variable
Run Measure controllable power outlets,Run Measure controllable power outlets,true,1,33b5c16d-d0ec-4825-9ce1-cf857f017c5d,,0,controllable_power_outlets.run_measure,false,,,false,true,false,1,,integer,true,controllable_power_outlets,Controllable Power Outlets,variable
Run Measure HVAC operations schedule,Run Measure HVAC operations schedule,true,1,df1a1164-663f-431a-aa97-9c7a82fd0746,,0,correct_hvac_operations_schedule.run_measure,false,,,false,true,false,1,,integer,true,correct_hvac_operations_schedule,Correct Hvac Operations Schedule,variable
Run Measure desktop power management,Run Measure desktop power management,true,1,a449be18-075d-40fb-8314-62fc0003c996,,0,desktop_power_management.run_measure,false,,,false,true,false,1,,integer,true,desktop_power_management,Desktop Power Management,variable
Run Measure display power management,Run Measure display power management,true,1,9f4b1405-2da6-445c-a767-87b721a19967,,0,display_power_management.run_measure,false,,,false,true,false,1,,integer,true,display_power_management,Display Power Management,variable
Run Measure elevator cab lighting controls,Run Measure elevator cab lighting controls,true,1,58f7a4fb-93f7-473b-971a-dd5c7bca9c68,,0,elevator_cab_lighting_controls.run_measure,false,,,false,true,false,1,,integer,true,elevator_cab_lighting_controls,Elevator Cab Lighting Controls,variable
Run Measure exhaust fan interlock,Run Measure exhaust fan interlock,true,1,efe0a973-59b4-4639-91d5-40349487fa23,,0,exhaust_fan_interlock.run_measure,false,,,false,true,false,1,,integer,true,exhaust_fan_interlock,Exhaust Fan Interlock,variable
Run Measure exterior lighting control,Run Measure exterior lighting control,true,1,cc7e54fa-8855-473d-933b-67daf28f7ca2,,0,exterior_lighting_control.run_measure,false,,,false,true,false,1,,integer,true,exterior_lighting_control,Exterior Lighting Control,variable
Total Site Energy Intensity,Site EUI,true,,,,,standard_report_legacy.total_energy,true,1,0,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Total Source Energy Intensity,Source EUI,true,,,,,standard_report_legacy.total_source_energy,true,2,1,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Natural Gas Heating Intensity,Natural Gas Heating Intensity,true,,,,,standard_report_legacy.heating_natural_gas,true,3,2,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Electricity Heating Intensity,Electricity Heating Intensity,true,,,,,standard_report_legacy.heating_electricity,true,4,3,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Cooling Electricity Intensity,Cooling Electricity Intensity,true,,,,,standard_report_legacy.cooling_electricity,true,5,4,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Interior Lighting Electricity Intensity,Interior Lighting Electricity Intensity,true,,,,,standard_report_legacy.interior_lighting_electricity,true,6,5,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Exterior Lighting Electricity Intensity,Exterior Lighting Electricity Intensity,true,,,,,standard_report_legacy.exterior_lighting_electricity,true,7,6,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Equipment Electricity Intensity,Equipment Electricity Intensity,true,,,,,standard_report_legacy.interior_equipment_electricity,true,8,7,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Equipment Natural Gas Intensity,Equipment Natural Gas Intensity,true,,,,,standard_report_legacy.interior_equipment_natural_gas,true,9,8,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Experior Equipment Electricity Intensity,Experior Equipment Electricity Intensity,true,,,,,standard_report_legacy.exterior_equipment_electricity,true,10,9,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Fans Electricity Intensity,Fans Electricity Intensity,true,,,,,standard_report_legacy.fans_electricity,true,11,10,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Pumps Electricity Intensity,Pumps Electricity Intensity,true,,,,,standard_report_legacy.pumps_electricity,true,12,11,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Heat Rejection Electricity Intensity,Heat Rejection Electricity Intensity,true,,,,,standard_report_legacy.heat_rejection_electricity,true,13,12,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Humidification Electricity Intensity,Humidification Electricity Intensity,true,,,,,standard_report_legacy.humidification_electricity,true,14,13,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Water Systems Electricity Intensity,Water Systems Electricity Intensity,true,,,,,standard_report_legacy.water_systems_electricity,true,15,14,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Water Systems Natural Gas Intensity,Water Systems Natural Gas Intensity,true,,,,,standard_report_legacy.water_systems_natural_gas,true,16,15,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Refrigeration Electricity Intensity,Refrigeration Electricity Intensity,true,,,,,standard_report_legacy.refrigeration_electricity,true,17,16,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
