name,_id,run_start_time,run_end_time,status,status_message,create_doe_prototype_building.building_type,create_doe_prototype_building.climate_zone,create_doe_prototype_building.template,change_indoor_temperature.run_measure,chilled_water_supply_temperature_reset.run_measure,close_outdoor_air_damper_during_unoccupied_periods.run_measure,cold_climate_heat_pumps.run_measure,commercial_lighting_with_current_leds.run_measure,commercial_lighting_with_et2020_leds.run_measure,controllable_power_outlets.run_measure,correct_hvac_operations_schedule.run_measure,desktop_power_management.run_measure,display_power_management.run_measure,elevator_cab_lighting_controls.run_measure,exhaust_fan_interlock.run_measure,exterior_lighting_control.run_measure,change_indoor_temperature.applicable,chilled_water_supply_temperature_reset.applicable,close_outdoor_air_damper_during_unoccupied_periods.applicable,cold_climate_heat_pumps.applicable,commercial_lighting_with_current_leds.applicable,commercial_lighting_with_et_2020_leds.applicable,controllable_power_outlets.applicable,correct_hvac_operations_schedule.applicable,create_doe_prototype_building.applicable,desktop_power_management.applicable,display_power_management.applicable,elevator_cab_lighting_controls.applicable,exhaust_fan_interlock.applicable,exterior_lighting_control.applicable,standard_report_legacy.cooling_electricity,standard_report_legacy.exterior_equipment_electricity,standard_report_legacy.exterior_lighting_electricity,standard_report_legacy.fans_electricity,standard_report_legacy.heat_rejection_electricity,standard_report_legacy.heating_electricity,standard_report_legacy.heating_natural_gas,standard_report_legacy.humidification_electricity,standard_report_legacy.interior_equipment_electricity,standard_report_legacy.interior_equipment_natural_gas,standard_report_legacy.interior_lighting_electricity,standard_report_legacy.pumps_electricity,standard_report_legacy.refrigeration_electricity,standard_report_legacy.total_energy,standard_report_legacy.total_source_energy,standard_report_legacy.water_systems_electricity,standard_report_legacy.water_systems_natural_gas
diag Autogenerated 1033,0025e8f4-2ddd-418d-a856-36508b248c81,2015-11-14T04:50:15Z,2015-11-14T05:04:34Z,completed,completed normal,SmallHotel,ASHRAE 169-2006-2A,DOE Ref 1980-2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,false,false,false,false,false,,false,false,true,false,true,false,false,false,183.68539405421677,0.0,66.43918257495466,132.0234026999613,0.0,1.2065594338023824,16.06722331973319,0.0,116.71249231672058,47.920898267056884,247.77216515446239,0.10117898815952892,0.0,889.71,2522.41,0.0,77.78387662234184
diag Autogenerated 1136,004afca7-9818-46fd-a75a-da5090a41657,2015-11-14T05:00:31Z,2015-11-14T05:13:22Z,completed,completed normal,SmallHotel,ASHRAE 169-2006-5A,DOE Ref Pre-1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,false,false,false,,false,false,true,false,false,false,false,false,82.69105754807899,0.0,66.36582780853901,31.276954714814377,0.0,48.33320264380696,0.0,0.0,205.27699012746024,47.920898267056884,247.77216515446239,0.1112968869754818,0.0,839.1,2329.84,0.0,109.34666197870689
diag Autogenerated 273,005c927a-8be5-402a-815e-727063c31dd8,2015-11-14T04:14:36Z,2015-11-14T04:16:25Z,completed,completed normal,SmallOffice,ASHRAE 169-2006-4A,DOE Ref 1980-2004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,,false,false,true,false,false,false,false,false,46.07168010016433,0.0,85.00273886845606,194.40097034196728,0.0,0.0,43.626261835824394,0.0,173.87902026762657,0.0,96.13428280773142,0.0,0.0,663.65,1959.78,0.0,24.551999373972922
diag Autogenerated 396,00ce2b14-c2eb-4bef-b6b7-1eb58baec92c,2015-11-14T04:16:59Z,2015-11-14T04:20:39Z,completed,completed normal,MediumOffice,ASHRAE 169-2006-3B,DOE Ref 1980-2004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,true,false,false,,false,false,true,false,false,false,false,false,228.901346596577,0.0,56.206206507580006,165.1081151060076,0.0,271.52115836610005,0.0,0.0,214.57029940648593,0.0,178.81293166258214,0.05419303559278149,0.0,1124.21,3541.55,0.0,9.028158299864117
diag Autogenerated 22,00e2307c-d30b-43ae-942c-a415de384fa7,2015-11-14T04:06:15Z,2015-11-14T04:11:30Z,completed,completed normal,LargeOffice,ASHRAE 169-2006-2A,DOE Ref 1980-2004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,,true,false,true,false,false,false,false,false,267.61695610974135,0.0,25.72802380813375,127.82575631692482,25.105275842917816,0.0,334.6881095557382,0.0,121.73225729670499,0.0,133.32345319734674,40.65152011880115,0.0,1134.3,2775.13,0.0,57.629635617590836
diag Autogenerated 805,014e973e-083f-4f5e-89eb-bc2bbe07c127,2015-11-14T04:35:16Z,2015-11-14T04:45:57Z,completed,completed normal,SecondarySchool,ASHRAE 169-2006-5A,DOE Ref Pre-1980,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,,false,false,true,false,false,false,false,false,179.61157615353204,0.0,17.539812168231933,251.16578195181708,0.0,0.0,1122.3897509187423,0.0,116.54757043691302,18.387096774193548,132.42037566353613,15.615046957942017,4.559514087382605,1875.85,3527.89,0.0,17.612290730910576
diag Autogenerated 388,01ab7b93-fd3d-497f-b5fb-1f5f7f664863,2015-11-14T04:16:54Z,2015-11-14T04:20:12Z,completed,completed normal,MediumOffice,ASHRAE 169-2006-3B,DOE Ref Pre-1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,false,false,false,false,false,,false,false,true,true,false,false,false,false,110.79866484417497,0.0,56.206206507580006,145.813387285511,0.0,0.0,11.816088908692764,0.0,149.56073533927852,0.0,178.81293166258214,0.05419303559278149,0.0,662.09,2053.43,0.0,9.028158299864117
diag Autogenerated 614,01f59d70-145b-493e-942b-c42f4ace34a8,2015-11-14T04:22:47Z,2015-11-14T04:26:32Z,completed,completed normal,RetailStandalone,ASHRAE 169-2006-4A,DOE Ref 1980-2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,false,false,false,false,false,,false,false,true,false,false,true,false,false,95.97687871350792,0.0,68.44406470821582,184.28153566493316,0.0,3.190946778320743,385.56837649684616,0.0,87.48076495538342,0.0,429.34363270982004,0.0,0.0,1254.28,3169.18,0.0,0.0
diag Autogenerated 1076,02827340-391d-433a-8c06-a9b1cc776b36,2015-11-14T04:56:22Z,2015-11-14T05:13:51Z,completed,completed normal,SmallHotel,ASHRAE 169-2006-3B,DOE Ref 1980-2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,false,false,false,false,false,,false,false,true,false,false,true,false,false,151.94807494327654,0.0,66.48471311962645,145.84951143196093,0.0,0.5590139095813973,17.34966699465522,0.0,205.27699012746024,47.920898267056884,247.77216515446239,0.10370846286351713,0.0,968.27,2753.49,0.0,84.99793847811625
diag Autogenerated 437,038c2fc3-31c4-49bc-9ca6-0b92c4a15460,2015-11-14T04:17:56Z,2015-11-14T04:21:42Z,completed,completed normal,MediumOffice,ASHRAE 169-2006-4A,DOE Ref 1980-2004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,,false,false,true,false,false,false,false,false,174.8407828685779,0.0,56.150006322520824,135.17148081466183,0.0,313.53079669783773,0.02207864413039246,0.0,214.57029940648593,0.0,178.81293166258214,0.05419303559278149,0.0,1083.1,3409.42,0.0,9.949439904941402
