name,_id,run_start_time,run_end_time,status,status_message,create_doe_prototype_building.building_type,create_doe_prototype_building.climate_zone,create_doe_prototype_building.template,add_chilled_water_pump_differential_pressure_reset_controls.run_measure,add_cooling_tower_controls.run_measure,add_daylight_sensors.run_measure,add_demand_control_ventilation.run_measure,add_demand_control_ventilation_metal_oxide.run_measure,add_eifs_wall_insulation.run_measure,add_energy_recovery_ventilator.run_measure,add_hot_water_pump_differential_pressure_reset_controls.run_measure,adjust_lighting_for_occupant_sensors.run_measure,advanced_power_strips.run_measure,brushless_dc_compressor_motors.run_measure,add_chilled_water_pump_differential_pressure_reset_controls.applicable,add_cooling_tower_controls.applicable,add_daylight_sensors.applicable,add_demand_control_ventilation.applicable,add_demand_control_ventilation_metal_oxide.applicable,add_eifs_wall_insulation.applicable,add_energy_recovery_ventilator.applicable,add_hot_water_pump_differential_pressure_reset_controls.applicable,adjust_lighting_for_occupant_sensors.applicable,advanced_power_strips.applicable,brushless_dc_compressor_motors.applicable,create_doe_prototype_building.applicable,standard_report_legacy.cooling_electricity,standard_report_legacy.exterior_equipment_electricity,standard_report_legacy.exterior_lighting_electricity,standard_report_legacy.fans_electricity,standard_report_legacy.heat_rejection_electricity,standard_report_legacy.heating_electricity,standard_report_legacy.heating_natural_gas,standard_report_legacy.humidification_electricity,standard_report_legacy.interior_equipment_electricity,standard_report_legacy.interior_equipment_natural_gas,standard_report_legacy.interior_lighting_electricity,standard_report_legacy.pumps_electricity,standard_report_legacy.refrigeration_electricity,standard_report_legacy.total_energy,standard_report_legacy.total_source_energy,standard_report_legacy.water_systems_electricity,standard_report_legacy.water_systems_natural_gas
diag Autogenerated 315,0047bec0-82dd-4bc7-a15e-b1fee1af699f,2015-11-14T04:10:04Z,2015-11-14T04:13:20Z,completed,completed normal,MediumOffice,ASHRAE 169-2006-2A,90.1-2010,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,false,true,226.28803799132513,0.0,21.16338397371437,133.34296765077207,0.0,218.21327568800066,0.0,0.0,154.9017600693671,0.0,93.17187823025618,0.030107241995989718,0.0,860.21,2697.01,0.0,13.102671716654726
diag Autogenerated 838,005edab7-c8ba-49e2-b82b-0c92ef98b08d,2015-11-14T04:33:05Z,2015-11-14T04:39:32Z,completed,completed normal,LargeHotel,ASHRAE 169-2006-5A,DOE Ref Pre-1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,false,true,293.65578138593196,0.0,122.04888548463722,253.18700535640778,0.0,0.0,959.4721686268045,0.0,172.14897107081438,109.17482056430465,199.03061094075161,48.57610515024296,3.990202101488811,2793.43,5304.05,0.0,632.1477899639409
diag Autogenerated 153,0072a774-343b-47a2-b16a-2d29b934a700,2015-11-14T04:07:05Z,2015-11-14T04:08:54Z,completed,completed normal,SmallOffice,ASHRAE 169-2006-2A,DOE Ref Pre-1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,false,true,180.41317786994287,0.0,85.10055559902965,360.5915955865091,0.0,0.0,7.805775099773065,0.0,173.87902026762657,0.0,206.13897801079895,0.0,0.0,1036.72,3219.58,0.0,22.791298223648173
diag Autogenerated 869,014a5134-a9e6-4e4a-8146-eaabab6b5d63,2015-11-14T04:35:02Z,2015-11-14T04:52:10Z,completed,completed normal,SmallHotel,ASHRAE 169-2006-2A,DOE Ref Pre-1980,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,false,true,213.45731132015814,0.0,66.43918257495466,66.62889317775378,0.0,1.532861670616863,0.0,0.0,205.27699012746024,47.920898267056884,247.77216515446239,0.10117898815952892,0.0,926.92,2673.7,0.0,77.78640609704583
diag Autogenerated 160,01567078-f50a-4c82-be19-e68a5ee799a1,2015-11-14T04:07:11Z,2015-11-14T04:08:58Z,completed,completed normal,SmallOffice,ASHRAE 169-2006-2A,DOE Ref 1980-2004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,true,false,false,false,false,false,false,false,false,true,127.02480632287347,0.0,85.10055559902965,234.3493231082244,0.0,0.0,4.382189529697159,0.0,173.87902026762657,0.0,205.53251428124264,0.0,0.0,853.05,2645.02,0.0,22.791298223648173
diag Autogenerated 761,01d9d764-d2c6-478e-998f-2cfdbfcd4f0f,2015-11-14T04:28:26Z,2015-11-14T04:33:00Z,completed,completed normal,LargeHotel,ASHRAE 169-2006-3B,DOE Ref Pre-1980,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,true,false,false,false,false,false,false,false,true,395.5033322198022,0.0,122.084142406232,298.28325234524635,0.0,0.0,636.7329526173417,0.0,172.14897107081438,109.17482056430465,199.03061094075161,57.71381780456912,4.704154763783032,2459.06,5268.27,0.0,463.68669289194014
diag Autogenerated 902,01f52bca-b43a-45d8-a82f-fb88b75ae1f9,2015-11-14T04:36:39Z,2015-11-14T04:55:29Z,completed,completed normal,SmallHotel,ASHRAE 169-2006-3B,DOE Ref Pre-1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,false,true,163.86695974846904,0.0,66.48471311962645,56.79935447805554,0.0,1.8692818062472967,0.0,0.0,205.27699012746024,47.920898267056884,247.77216515446239,0.10370846286351713,0.0,875.09,2494.54,0.0,85.00046795282024
diag Autogenerated 490,022493a3-648b-4309-a6bb-43fae853673c,2015-11-14T04:14:38Z,2015-11-14T04:16:25Z,completed,completed normal,RetailStandalone,ASHRAE 169-2006-3B,DOE Ref 1980-2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,false,true,134.46440481431918,0.0,68.50945296186994,195.94244089991676,0.0,1.150833264312399,109.55148017210189,0.0,87.48076495538342,0.0,429.34363270982004,0.0,0.0,1026.45,3022.56,0.0,0.0
diag Autogenerated 593,028f6159-8e0a-4c6b-892a-c6dd3584615d,2015-11-14T04:16:37Z,2015-11-14T04:26:06Z,completed,completed normal,SecondarySchool,ASHRAE 169-2006-2A,DOE Ref 1980-2004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,true,false,false,false,false,false,false,false,true,424.43650469579416,0.0,17.560228664761127,249.05930992241733,0.0,0.0,450.2715394038383,0.0,116.54757043691302,18.387096774193548,214.5983054307881,30.04695794201715,5.754389546753777,1538.52,3871.58,0.0,11.860963658636178
diag Autogenerated 985,029f11cc-3283-4421-86ea-775a0a158862,2015-11-14T04:44:52Z,2015-11-14T04:57:58Z,completed,completed normal,SmallHotel,ASHRAE 169-2006-5A,DOE Ref 1980-2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,false,true,87.18593409706607,0.0,66.36582780853901,113.67712267193473,0.0,26.144650540422273,91.91858126822802,0.0,205.27699012746024,47.920898267056884,247.77216515446239,0.1112968869754818,0.0,995.72,2634.39,0.0,109.34666197870689
