display_name,display_name_short,export,maximum,measure_id,metadata_id,minimum,name,objective_function,objective_function_group,objective_function_index,output,perturbable,pivot,static_value,units,value_type,visualize,measure_name,measure_display_name,type_of_variable
Select a Building Type,Select a Building Type,true,,bd2bb2d0-f193-4a42-a7d8-3e22a7968c6f,,,create_doe_prototype_building.building_type,false,,,false,false,true,LargeOffice,,string,true,create_doe_prototype_building,Create DOE Prototype Building,pivot
Select a Vintage,Select a Vintage,true,90.1-2010,bd2bb2d0-f193-4a42-a7d8-3e22a7968c6f,,90.1-2010,create_doe_prototype_building.template,false,,,false,false,true,90.1-2010,,string,true,create_doe_prototype_building,Create DOE Prototype Building,pivot
Select a Climate Zone,Select a Climate Zone,true,ASHRAE 169-2006-2A,bd2bb2d0-f193-4a42-a7d8-3e22a7968c6f,,ASHRAE 169-2006-2A,create_doe_prototype_building.climate_zone,false,,,false,false,true,ASHRAE 169-2006-5A,,string,true,create_doe_prototype_building,Create DOE Prototype Building,pivot
Run Measure Add Chilled Water Pump Differential Pressure Reset Controls,Run Measure Add Chilled Water Pump Differential Pressure Reset Controls,true,1,80f179c7-cb18-42f8-a711-72d9cb1fcc84,,0,add_chilled_water_pump_differential_pressure_reset_controls.run_measure,false,,,false,true,false,1,,integer,true,add_chilled_water_pump_differential_pressure_reset_controls,Add Chilled Water Pump Differential Pressure Reset Controls,variable
Run Measure Add Cooling Tower Controls,Run Measure Add Cooling Tower Controls,true,1,94c7bfb5-ac2e-4582-9295-7148020ca531,,0,add_cooling_tower_controls.run_measure,false,,,false,true,false,1,,integer,true,add_cooling_tower_controls,Add Cooling Tower Controls,variable
Run Measure Add Daylight Sensors,Run Measure Add Daylight Sensors,true,1,39b1e438-938b-4201-b661-f2a1785ab953,,0,add_daylight_sensors.run_measure,false,,,false,true,false,1,,integer,true,add_daylight_sensors,Add Daylight Sensors,variable
Run Measure Add Demand Control Ventilation,Run Measure Add Demand Control Ventilation,true,1,5fd9d686-2082-4237-b956-eede03d58182,,0,add_demand_control_ventilation.run_measure,false,,,false,true,false,1,,integer,true,add_demand_control_ventilation,Add Demand Control Ventilation,variable
Run Measure Add Demand Control Ventilation Metal Oxide,Run Measure Add Demand Control Ventilation Metal Oxide,true,1,c7a2f588-e1a1-4a2d-9fb8-e8b6c81cfa00,,0,add_demand_control_ventilation_metal_oxide.run_measure,false,,,false,true,false,1,,integer,true,add_demand_control_ventilation_metal_oxide,Add Demand Control Ventilation Metal Oxide,variable
Run Measure Add Eifs Wall Insulation,Run Measure Add Eifs Wall Insulation,true,1,c1699e95-e7e0-4a14-8c04-586304f13da8,,0,add_eifs_wall_insulation.run_measure,false,,,false,true,false,1,,integer,true,add_eifs_wall_insulation,Add Eifs Wall Insulation,variable
Run Measure Add Energy Recovery Ventilator,Run Measure Add Energy Recovery Ventilator,true,1,59d3b672-5866-454c-b0ba-7000d043c2a8,,0,add_energy_recovery_ventilator.run_measure,false,,,false,true,false,1,,integer,true,add_energy_recovery_ventilator,Add Energy Recovery Ventilator,variable
Run Measure Add Hot Water Pump Differential Pressure Reset Controls,Run Measure Add Hot Water Pump Differential Pressure Reset Controls,true,1,637ab878-16bd-423a-8ea5-6e434f53bb86,,0,add_hot_water_pump_differential_pressure_reset_controls.run_measure,false,,,false,true,false,1,,integer,true,add_hot_water_pump_differential_pressure_reset_controls,Add Hot Water Pump Differential Pressure Reset Controls,variable
Run Measure Adjust Lighting For Occupant Sensors,Run Measure Adjust Lighting For Occupant Sensors,true,1,b8ae1c40-7e4d-4659-a43e-f118d4d258ef,,0,adjust_lighting_for_occupant_sensors.run_measure,false,,,false,true,false,1,,integer,true,adjust_lighting_for_occupant_sensors,Adjust Lighting For Occupant Sensors,variable
Run Measure Advanced Power Strips,Run Measure Advanced Power Strips,true,1,3f1ee56d-d4ff-448a-9bc3-3890cdded6ef,,0,advanced_power_strips.run_measure,false,,,false,true,false,1,,integer,true,advanced_power_strips,Advanced Power Strips,variable
Run Measure Brushless Dc Compressor Motors,Run Measure Brushless Dc Compressor Motors,true,1,53bbce79-aa75-4d9d-900c-55460b7aeca4,,0,brushless_dc_compressor_motors.run_measure,false,,,false,true,false,1,,integer,true,brushless_dc_compressor_motors,Brushless Dc Compressor Motors,variable
Total Site Energy Intensity,Site EUI,true,,,,,standard_report_legacy.total_energy,true,1,0,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Total Source Energy Intensity,Source EUI,true,,,,,standard_report_legacy.total_source_energy,true,2,1,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
