display_name,display_name_short,export,maximum,measure_id,metadata_id,minimum,name,objective_function,objective_function_group,objective_function_index,output,perturbable,pivot,static_value,units,value_type,visualize,measure_name,measure_display_name,type_of_variable
Select a Building Type,Select a Building Type,true,,81e0e810-1622-45e3-a6e6-ae9a3ad458fb,,,create_doe_prototype_building.building_type,false,,,false,false,true,LargeOffice,,string,true,create_doe_prototype_building,Create DOE Prototype Building,pivot
Select a Vintage,Select a Vintage,true,90.1-2010,81e0e810-1622-45e3-a6e6-ae9a3ad458fb,,90.1-2010,create_doe_prototype_building.template,false,,,false,false,true,90.1-2010,,string,true,create_doe_prototype_building,Create DOE Prototype Building,pivot
Select a Climate Zone,Select a Climate Zone,true,ASHRAE 169-2006-2A,81e0e810-1622-45e3-a6e6-ae9a3ad458fb,,ASHRAE 169-2006-2A,create_doe_prototype_building.climate_zone,false,,,false,false,true,ASHRAE 169-2006-5A,,string,true,create_doe_prototype_building,Create DOE Prototype Building,pivot
run measure leds,run measure leds,true,1,791c58a8-84a9-4527-b26a-1d27e16a39ca,,0,commercial_lighting_with_current_leds.run_measure,false,,,false,true,false,0,,integer,true,commercial_lighting_with_current_leds,Commercial Lighting With Current LEDs,variable
Total Site Energy Intensity,Site EUI,true,,,,,standard_report_legacy.total_energy,true,1,0,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Total Source Energy Intensity,Source EUI,true,,,,,standard_report_legacy.total_source_energy,true,2,1,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Natural Gas Heating Intensity,Natural Gas Heating Intensity,true,,,,,standard_report_legacy.heating_natural_gas,true,3,2,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Electricity Heating Intensity,Electricity Heating Intensity,true,,,,,standard_report_legacy.heating_electricity,true,4,3,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Cooling Electricity Intensity,Cooling Electricity Intensity,true,,,,,standard_report_legacy.cooling_electricity,true,5,4,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Interior Lighting Electricity Intensity,Interior Lighting Electricity Intensity,true,,,,,standard_report_legacy.interior_lighting_electricity,true,6,5,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Exterior Lighting Electricity Intensity,Exterior Lighting Electricity Intensity,true,,,,,standard_report_legacy.exterior_lighting_electricity,true,7,6,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Equipment Electricity Intensity,Equipment Electricity Intensity,true,,,,,standard_report_legacy.interior_equipment_electricity,true,8,7,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Equipment Natural Gas Intensity,Equipment Natural Gas Intensity,true,,,,,standard_report_legacy.interior_equipment_natural_gas,true,9,8,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Experior Equipment Electricity Intensity,Experior Equipment Electricity Intensity,true,,,,,standard_report_legacy.exterior_equipment_electricity,true,10,9,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Fans Electricity Intensity,Fans Electricity Intensity,true,,,,,standard_report_legacy.fans_electricity,true,11,10,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Pumps Electricity Intensity,Pumps Electricity Intensity,true,,,,,standard_report_legacy.pumps_electricity,true,12,11,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Heat Rejection Electricity Intensity,Heat Rejection Electricity Intensity,true,,,,,standard_report_legacy.heat_rejection_electricity,true,13,12,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Humidification Electricity Intensity,Humidification Electricity Intensity,true,,,,,standard_report_legacy.humidification_electricity,true,14,13,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Water Systems Electricity Intensity,Water Systems Electricity Intensity,true,,,,,standard_report_legacy.water_systems_electricity,true,15,14,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Water Systems Natural Gas Intensity,Water Systems Natural Gas Intensity,true,,,,,standard_report_legacy.water_systems_natural_gas,true,16,15,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Refrigeration Electricity Intensity,Refrigeration Electricity Intensity,true,,,,,standard_report_legacy.refrigeration_electricity,true,17,16,true,false,false,,MJ/m2,double,true,standard_report_legacy,,output
Create DOE Prototype Building Applicable,Create DOE Prototype Building Applicable,true,,81e0e810-1622-45e3-a6e6-ae9a3ad458fb,,,create_doe_prototype_building.applicable,true,18,17,true,false,false,,,bool,true,create_doe_prototype_building,Create DOE Prototype Building,output
Commercial Lighting With Current LEDs Applicable,Commercial Lighting With Current LEDs Applicable,true,,5227e757-4b7d-40b6-9719-b7e3213565dd,,,commercial_lighting_with_current_leds.applicable,true,19,18,true,false,false,,,bool,true,commercial_lighting_with_current_leds,Commercial Lighting With Current LEDs,output
