name,_id,run_start_time,run_end_time,status,status_message,create_doe_prototype_building.building_type,create_doe_prototype_building.climate_zone,create_doe_prototype_building.template,commercial_lighting_with_current_leds.run_measure,commercial_lighting_with_current_leds.applicable,create_doe_prototype_building.applicable,standard_report_legacy.cooling_electricity,standard_report_legacy.exterior_equipment_electricity,standard_report_legacy.exterior_lighting_electricity,standard_report_legacy.fans_electricity,standard_report_legacy.heat_rejection_electricity,standard_report_legacy.heating_electricity,standard_report_legacy.heating_natural_gas,standard_report_legacy.humidification_electricity,standard_report_legacy.interior_equipment_electricity,standard_report_legacy.interior_equipment_natural_gas,standard_report_legacy.interior_lighting_electricity,standard_report_legacy.pumps_electricity,standard_report_legacy.refrigeration_electricity,standard_report_legacy.total_energy,standard_report_legacy.total_source_energy,standard_report_legacy.water_systems_electricity,standard_report_legacy.water_systems_natural_gas
diag Autogenerated 18,04b83337-dfa9-4257-8ba9-b11bdae7c6bc,2015-11-13T22:23:51Z,2015-11-13T22:29:20Z,completed,completed normal,LargeOffice,ASHRAE 169-2006-4A,90.1-2010,1.0,true,true,89.37990881548536,0.0,25.512158636919203,81.49563372395706,7.0156506754642365,9.344378007384009,8.762722400827368,0.14944830421781002,173.87152497610933,0.0,58.009797634366656,20.757878311192066,0.0,489.37,1509.47,0.0,10.609426329002373
diag Autogenerated 62,055feec3-3a88-41f2-ae9c-d9cc38382831,2015-11-13T22:18:31Z,2015-11-13T22:22:36Z,completed,completed normal,MediumOffice,ASHRAE 169-2006-4A,DOE Ref Pre-1980,1.0,true,true,80.04110642107186,0.0,56.150006322520824,96.01600902414401,0.0,0.0,81.32166778063463,0.0,214.57029940648593,0.0,110.9873368940165,0.05419303559278149,0.0,649.09,1865.55,0.0,9.949439904941402
diag Autogenerated 58,06d6ea45-4fc8-4c05-bdfa-e7b89b85b81b,2015-11-13T22:18:31Z,2015-11-13T22:23:50Z,completed,completed normal,MediumOffice,ASHRAE 169-2006-3B,DOE Ref 1980-2004,1.0,true,true,205.17683990373712,0.0,56.206206507580006,152.37275174170395,0.0,256.01191443923256,0.0,0.0,214.57029940648593,0.0,110.9873368940165,0.05419303559278149,0.0,1004.41,3162.16,0.0,9.028158299864117
diag Autogenerated 56,0afb8e0f-ec7e-4f31-bbd3-4bdd798644dd,2015-11-13T22:18:32Z,2015-11-13T22:22:56Z,completed,completed normal,MediumOffice,ASHRAE 169-2006-3B,DOE Ref Pre-1980,1.0,true,true,109.12068789026513,0.0,56.206206507580006,138.86062153390378,0.0,0.0,10.298683912094884,0.0,214.57029940648593,0.0,110.9873368940165,0.05419303559278149,0.0,649.13,2015.53,0.0,9.028158299864117
diag Autogenerated 142,0b0db6e1-4ce5-4bfd-a51b-07c737d5b2b4,2015-11-13T22:16:04Z,2015-11-13T22:23:59Z,completed,completed normal,LargeHotel,ASHRAE 169-2006-5A,DOE Ref 1980-2004,1.0,true,true,278.15507580678855,0.0,122.04888548463722,227.24848813913084,0.0,0.0,859.8466852764451,0.0,172.13134261001701,109.17482056430465,122.1881503249366,42.53747590409765,3.9910835245286806,2569.47,4802.28,0.0,632.1477899639409
diag Autogenerated 26,0dee89d1-5e83-450a-ad89-dc8cec6758cb,2015-11-13T22:23:36Z,2015-11-13T22:25:37Z,completed,completed normal,SmallOffice,ASHRAE 169-2006-2A,DOE Ref Pre-1980,1.0,true,true,163.51044682682524,0.0,85.10055559902965,331.69653337506844,0.0,0.0,8.999139212770952,0.0,173.87902026762657,0.0,127.94428359026529,0.0,0.0,913.93,2828.22,0.0,22.791298223648173
diag Autogenerated 118,0eae90ea-93d1-4d04-a831-17e84d947800,2015-11-13T22:16:04Z,2015-11-13T22:26:32Z,completed,completed normal,SecondarySchool,ASHRAE 169-2006-5A,DOE Ref 1980-2004,1.0,true,true,178.11249489587587,0.0,17.539812168231933,230.58646386280114,0.0,0.0,989.6917109024091,0.0,116.54757043691302,18.387096774193548,133.19875459371173,14.666190281747651,4.560024499795835,1720.9,3313.58,0.0,17.612290730910576
diag Autogenerated 17,123024bd-f98f-4b97-ab8c-0bd5041b1abc,2015-11-13T22:23:50Z,2015-11-13T22:27:51Z,completed,completed normal,LargeOffice,ASHRAE 169-2006-4A,90.1-2010,0.0,false,true,95.83354967086291,0.0,25.512158636919203,87.45532337666165,7.5046904315197,9.34367637215294,12.567690258917432,0.16418264407027017,173.87152497610933,0.0,93.45991768415469,22.566693936889315,0.0,542.77,1670.68,0.0,10.609426329002373
diag Autogenerated 100,1295fed5-c35b-4d0b-b0a0-dea19c663c16,2015-11-13T22:16:04Z,2015-11-13T22:23:43Z,completed,completed normal,SecondarySchool,ASHRAE 169-2006-2A,DOE Ref 1980-2004,1.0,true,true,497.05543078807676,0.0,17.560228664761127,230.2628623928134,0.0,0.0,434.2639853001225,0.0,116.54757043691302,18.387096774193548,133.19875459371173,28.47795018374847,5.74009799918334,1493.36,3761.88,0.0,11.860963658636178
diag Autogenerated 115,157d99b0-644b-4294-acc8-08edb3a93d75,2015-11-13T22:16:04Z,2015-11-13T22:26:18Z,completed,completed normal,SecondarySchool,ASHRAE 169-2006-5A,DOE Ref Pre-1980,0.0,false,true,206.71192323397304,0.0,17.539812168231933,291.28572886892607,0.0,0.0,1116.8701510820742,0.0,116.54757043691302,18.387096774193548,283.9679461004492,17.35555328705594,4.5911596570028586,2090.87,4220.35,0.0,17.612290730910576
diag Autogenerated 128,17281bbd-075f-48d1-b084-735b67137c80,2015-11-13T22:16:04Z,2015-11-13T22:23:32Z,completed,completed normal,LargeHotel,ASHRAE 169-2006-3B,DOE Ref Pre-1980,1.0,true,true,385.99630331177076,0.0,122.084142406232,267.04385696619477,0.0,0.0,580.0636211150178,0.0,172.14897107081438,109.17482056430465,123.53584615289692,52.009247890534304,4.702391917703293,2280.45,4820.63,0.0,463.6849300458604
diag Autogenerated 130,1768ff8a-2b02-4efa-9e22-2fa6b3578ff2,2015-11-13T22:16:04Z,2015-11-13T22:23:17Z,completed,completed normal,LargeHotel,ASHRAE 169-2006-3B,DOE Ref 1980-2004,1.0,true,true,373.9340290111579,0.0,122.084142406232,253.84630979023012,0.0,0.0,562.0720140252033,0.0,172.13134261001701,109.17482056430465,122.1881503249366,46.38753174224722,4.701510494663424,2230.21,4699.0,0.0,463.6858114689003
diag Autogenerated 101,1b9f920d-7dcb-4579-afd5-afc8da29b932,2015-11-13T22:16:04Z,2015-11-13T22:26:00Z,completed,completed normal,SecondarySchool,ASHRAE 169-2006-2A,90.1-2010,0.0,false,true,215.25265414454879,0.0,5.922825643119641,106.26071866067784,0.0,0.0,76.53787260106166,0.0,123.86075949367088,28.3008370763577,115.81155573703552,6.518476929358922,5.7186606778276845,775.12,2089.37,8.10483870967742,70.60585953450388
diag Autogenerated 145,1c96763d-f130-43dd-abc8-5f616a017ec8,2015-11-13T22:16:04Z,2015-11-13T22:30:43Z,completed,completed normal,SmallHotel,ASHRAE 169-2006-2A,DOE Ref Pre-1980,0.0,false,true,213.45731132015814,0.0,66.43918257495466,66.62889317775378,0.0,1.532861670616863,0.0,0.0,205.27699012746024,47.920898267056884,247.77216515446239,0.10117898815952892,0.0,926.92,2673.7,0.0,77.78640609704583
diag Autogenerated 87,1d42ab1c-aa9c-4534-bc1a-9b225f99aef4,2015-11-13T22:16:05Z,2015-11-13T22:18:27Z,completed,completed normal,RetailStandalone,ASHRAE 169-2006-4A,DOE Ref 1980-2004,0.0,false,true,95.97687871350792,0.0,68.44406470821582,184.28153566493316,0.0,3.190946778320743,385.56837649684616,0.0,87.48076495538342,0.0,429.34363270982004,0.0,0.0,1254.28,3169.18,0.0,0.0
